variant,qnum,type,question,A,B,C,D,correct,score,solution,topic,difficulty,tolerance
3,16,mcq,|x - 2| = 8. x-ийн утгыг ол.,-6,10,4,2,B,1,"x = [10, -6]",Модульт тэгшитгэл,Easy,
3,17,mcq,|x - 9| = 10. x-ийн утгыг ол.,-1,0,9,19,D,1,"x = [19, -1]",Модульт тэгшитгэл,Medium,
3,18,mcq,|x - 2| = 1. x-ийн утгыг ол.,9,5,1,3,D,1,"x = [3, 1]",Модульт тэгшитгэл,Easy,
3,19,mcq,|x - 7| = 4. x-ийн утгыг ол.,3,9,11,20,C,1,"x = [11, 3]",Модульт тэгшитгэл,Hard,
3,20,mcq,|x - 5| = 5. x-ийн утгыг ол.,0,10,16,7,B,1,"x = [10, 0]",Модульт тэгшитгэл,Hard,
3,21,mcq,|x - 1| = 8. x-ийн утгыг ол.,9,19,-7,17,A,1,"x = [9, -7]",Модульт тэгшитгэл,Easy,
3,22,mcq,|x - 5| = 8. x-ийн утгыг ол.,-3,13,18,1,B,1,"x = [13, -3]",Модульт тэгшитгэл,Medium,
3,23,mcq,|x - 3| = 8. x-ийн утгыг ол.,13,-5,11,4,C,1,"x = [11, -5]",Модульт тэгшитгэл,Easy,
3,24,mcq,|x - 1| = 9. x-ийн утгыг ол.,4,10,-8,1,B,1,"x = [10, -8]",Модульт тэгшитгэл,Easy,
3,25,mcq,|x - 3| = 4. x-ийн утгыг ол.,-1,16,7,2,C,1,"x = [7, -1]",Модульт тэгшитгэл,Hard,
3,26,mcq,|x - 6| = 4. x-ийн утгыг ол.,10,6,2,17,A,1,"x = [10, 2]",Модульт тэгшитгэл,Hard,
3,27,mcq,|x - 9| = 4. x-ийн утгыг ол.,11,14,13,5,C,1,"x = [13, 5]",Модульт тэгшитгэл,Medium,
3,28,mcq,|x - 10| = 5. x-ийн утгыг ол.,15,5,8,11,A,1,"x = [15, 5]",Модульт тэгшитгэл,Easy,
3,29,mcq,|x - 10| = 5. x-ийн утгыг ол.,5,10,1,15,D,1,"x = [15, 5]",Модульт тэгшитгэл,Medium,
3,30,mcq,|x - 1| = 6. x-ийн утгыг ол.,4,13,-5,7,D,1,"x = [7, -5]",Модульт тэгшитгэл,Medium,
3,31,mcq,|x - 1| = 2. x-ийн утгыг ол.,7,-1,16,3,D,1,"x = [3, -1]",Модульт тэгшитгэл,Medium,
3,32,mcq,|x - 5| = 7. x-ийн утгыг ол.,16,12,-2,20,B,1,"x = [12, -2]",Модульт тэгшитгэл,Medium,
3,33,mcq,|x - 1| = 4. x-ийн утгыг ол.,-3,15,8,5,D,1,"x = [5, -3]",Модульт тэгшитгэл,Easy,
3,34,mcq,|x - 4| = 3. x-ийн утгыг ол.,9,1,7,9,C,1,"x = [7, 1]",Модульт тэгшитгэл,Hard,
3,35,mcq,|x - 6| = 2. x-ийн утгыг ол.,20,4,10,8,D,1,"x = [8, 4]",Модульт тэгшитгэл,Hard,
3,36,mcq,|x - 7| = 6. x-ийн утгыг ол.,1,13,11,18,B,1,"x = [13, 1]",Модульт тэгшитгэл,Easy,
3,37,mcq,|x - 5| = 8. x-ийн утгыг ол.,4,18,13,-3,C,1,"x = [13, -3]",Модульт тэгшитгэл,Medium,
3,38,mcq,|x - 2| = 5. x-ийн утгыг ол.,6,-3,1,7,D,1,"x = [7, -3]",Модульт тэгшитгэл,Easy,
3,39,mcq,|x - 2| = 4. x-ийн утгыг ол.,0,-2,6,12,C,1,"x = [6, -2]",Модульт тэгшитгэл,Easy,
3,40,mcq,|x - 3| = 9. x-ийн утгыг ол.,10,-6,12,19,C,1,"x = [12, -6]",Модульт тэгшитгэл,Hard,
