variant,qnum,type,question,A,B,C,D,correct,score,solution,topic,difficulty,tolerance
1,24,num,x=3 үед y=x² функцийн утга хэд вэ?,,,,,9,1,9,Функц ба график,Easy,0.01
1,25,mcq,y=3x² функцийн уламжлалыг ол.,6x,3x,x²,6,A,1,6x,Функцийн уламжлал,Medium,
1,26,num,∫0→2 x dx = ?,,,,,2.0,1,2.0,Интеграл,Hard,0.01
1,27,mcq,Шоо орхиход 6 гарах магадлал хэд вэ?,1/2,1/3,1/6,1/4,C,1,1/6,Магадлал статистик,Easy,
1,28,num,|3+4i|-г ол.,,,,,5,1,5,Комплекс тоо,Medium,0.01
1,29,mcq,log_2(8) = ?,2,3,4,1,B,1,3,Логарифм,Hard,
1,30,num,x=2 үед x²+2x+1 хэд вэ?,,,,,9,1,9,Олон гишүүнт,Easy,0.01
1,31,mcq,y=2x+1 шулуугийн налуу хэд вэ?,1,2,3,0,B,1,2,Функц ба график,Medium,
1,32,num,y=x³ функцийн x=2 дээрх уламжлал хэд вэ?,,,,,12,1,12,Функцийн уламжлал,Hard,0.01
1,33,mcq,∫ x dx = ?,x²/2 + C,ln|x|+C,x³/3 + C,2x+C,A,1,x²/2 + C,Интеграл,Easy,
1,34,num,10 зоос шидэхэд толгойны хүлээгдэж буй дундаж хэд вэ?,,,,,5,1,5,Магадлал статистик,Medium,0.01
1,35,mcq,i² = ?,1,-1,i,-i,B,1,-1,Комплекс тоо,Hard,
1,36,num,log_10(100) тооцоол.,,,,,2,1,2,Логарифм,Easy,0.01
1,37,mcq,(x+2)(x+3)-г үржүүл.,x²+5x+6,x²+6x+5,x²+2x+3,x²+3x+2,A,1,x²+5x+6,Олон гишүүнт,Medium,
1,38,num,x=3 үед y=x² функцийн утга хэд вэ?,,,,,9,1,9,Функц ба график,Hard,0.01
1,39,mcq,y=3x² функцийн уламжлалыг ол.,6x,3x,x²,6,A,1,6x,Функцийн уламжлал,Easy,
1,40,num,∫0→2 x dx = ?,,,,,2.0,1,2.0,Интеграл,Medium,0.01
2,1,mcq,log_2(8) = ?,2,3,4,1,B,1,3,Логарифм,Medium,
2,2,num,x=2 үед x²+2x+1 хэд вэ?,,,,,9,1,9,Олон гишүүнт,Hard,0.01
2,3,mcq,y=2x+1 шулуугийн налуу хэд вэ?,1,2,3,0,B,1,2,Функц ба график,Easy,
2,4,num,y=x³ функцийн x=2 дээрх уламжлал хэд вэ?,,,,,12,1,12,Функцийн уламжлал,Medium,0.01
2,5,mcq,∫ x dx = ?,x²/2 + C,ln|x|+C,x³/3 + C,2x+C,A,1,x²/2 + C,Интеграл,Hard,
2,6,num,10 зоос шидэхэд толгойны хүлээгдэж буй дундаж хэд вэ?,,,,,5,1,5,Магадлал статистик,Easy,0.01
2,7,mcq,i² = ?,1,-1,i,-i,B,1,-1,Комплекс тоо,Medium,
2,8,num,log_10(100) тооцоол.,,,,,2,1,2,Логарифм,Hard,0.01
2,9,mcq,(x+2)(x+3)-г үржүүл.,x²+5x+6,x²+6x+5,x²+2x+3,x²+3x+2,A,1,x²+5x+6,Олон гишүүнт,Easy,
2,10,num,x=3 үед y=x² функцийн утга хэд вэ?,,,,,9,1,9,Функц ба график,Medium,0.01
2,11,mcq,y=3x² функцийн уламжлалыг ол.,6x,3x,x²,6,A,1,6x,Функцийн уламжлал,Hard,
2,12,num,∫0→2 x dx = ?,,,,,2.0,1,2.0,Интеграл,Easy,0.01
2,13,mcq,Шоо орхиход 6 гарах магадлал хэд вэ?,1/2,1/3,1/6,1/4,C,1,1/6,Магадлал статистик,Medium,
2,14,num,|3+4i|-г ол.,,,,,5,1,5,Комплекс тоо,Hard,0.01
2,15,mcq,log_2(8) = ?,2,3,4,1,B,1,3,Логарифм,Easy,
2,16,num,x=2 үед x²+2x+1 хэд вэ?,,,,,9,1,9,Олон гишүүнт,Medium,0.01
2,17,mcq,y=2x+1 шулуугийн налуу хэд вэ?,1,2,3,0,B,1,2,Функц ба график,Hard,
2,18,num,y=x³ функцийн x=2 дээрх уламжлал хэд вэ?,,,,,12,1,12,Функцийн уламжлал,Easy,0.01
2,19,mcq,∫ x dx = ?,x²/2 + C,ln|x|+C,x³/3 + C,2x+C,A,1,x²/2 + C,Интеграл,Medium,
2,20,num,10 зоос шидэхэд толгойны хүлээгдэж буй дундаж хэд вэ?,,,,,5,1,5,Магадлал статистик,Hard,0.01
2,21,mcq,i² = ?,1,-1,i,-i,B,1,-1,Комплекс тоо,Easy,
2,22,num,log_10(100) тооцоол.,,,,,2,1,2,Логарифм,Medium,0.01
2,23,mcq,(x+2)(x+3)-г үржүүл.,x²+5x+6,x²+6x+5,x²+2x+3,x²+3x+2,A,1,x²+5x+6,Олон гишүүнт,Hard,
2,24,num,x=3 үед y=x² функцийн утга хэд вэ?,,,,,9,1,9,Функц ба график,Easy,0.01
2,25,mcq,y=3x² функцийн уламжлалыг ол.,6x,3x,x²,6,A,1,6x,Функцийн уламжлал,Medium,
2,26,num,∫0→2 x dx = ?,,,,,2.0,1,2.0,Интеграл,Hard,0.01
2,27,mcq,Шоо орхиход 6 гарах магадлал хэд вэ?,1/2,1/3,1/6,1/4,C,1,1/6,Магадлал статистик,Easy,
2,28,num,|3+4i|-г ол.,,,,,5,1,5,Комплекс тоо,Medium,0.01
2,29,mcq,log_2(8) = ?,2,3,4,1,B,1,3,Логарифм,Hard,
2,30,num,x=2 үед x²+2x+1 хэд вэ?,,,,,9,1,9,Олон гишүүнт,Easy,0.01
2,31,mcq,y=2x+1 шулуугийн налуу хэд вэ?,1,2,3,0,B,1,2,Функц ба график,Medium,
2,32,num,y=x³ функцийн x=2 дээрх уламжлал хэд вэ?,,,,,12,1,12,Функцийн уламжлал,Hard,0.01
2,33,mcq,∫ x dx = ?,x²/2 + C,ln|x|+C,x³/3 + C,2x+C,A,1,x²/2 + C,Интеграл,Easy,
2,34,num,10 зоос шидэхэд толгойны хүлээгдэж буй дундаж хэд вэ?,,,,,5,1,5,Магадлал статистик,Medium,0.01
2,35,mcq,i² = ?,1,-1,i,-i,B,1,-1,Комплекс тоо,Hard,
2,36,num,log_10(100) тооцоол.,,,,,2,1,2,Логарифм,Easy,0.01
2,37,mcq,(x+2)(x+3)-г үржүүл.,x²+5x+6,x²+6x+5,x²+2x+3,x²+3x+2,A,1,x²+5x+6,Олон гишүүнт,Medium,
2,38,num,x=3 үед y=x² функцийн утга хэд вэ?,,,,,9,1,9,Функц ба график,Hard,0.01
2,39,mcq,y=3x² функцийн уламжлалыг ол.,6x,3x,x²,6,A,1,6x,Функцийн уламжлал,Easy,
2,40,num,∫0→2 x dx = ?,,,,,2.0,1,2.0,Интеграл,Medium,0.01
3,1,mcq,log_2(8) = ?,2,3,4,1,B,1,3,Логарифм,Medium,
3,2,num,x=2 үед x²+2x+1 хэд вэ?,,,,,9,1,9,Олон гишүүнт,Hard,0.01
3,3,mcq,y=2x+1 шулуугийн налуу хэд вэ?,1,2,3,0,B,1,2,Функц ба график,Easy,
3,4,num,y=x³ функцийн x=2 дээрх уламжлал хэд вэ?,,,,,12,1,12,Функцийн уламжлал,Medium,0.01
3,5,mcq,∫ x dx = ?,x²/2 + C,ln|x|+C,x³/3 + C,2x+C,A,1,x²/2 + C,Интеграл,Hard,
3,6,num,10 зоос шидэхэд толгойны хүлээгдэж буй дундаж хэд вэ?,,,,,5,1,5,Магадлал статистик,Easy,0.01
3,7,mcq,i² = ?,1,-1,i,-i,B,1,-1,Комплекс тоо,Medium,
3,8,num,log_10(100) тооцоол.,,,,,2,1,2,Логарифм,Hard,0.01
3,9,mcq,(x+2)(x+3)-г үржүүл.,x²+5x+6,x²+6x+5,x²+2x+3,x²+3x+2,A,1,x²+5x+6,Олон гишүүнт,Easy,
3,10,num,x=3 үед y=x² функцийн утга хэд вэ?,,,,,9,1,9,Функц ба график,Medium,0.01
3,11,mcq,y=3x² функцийн уламжлалыг ол.,6x,3x,x²,6,A,1,6x,Функцийн уламжлал,Hard,
3,12,num,∫0→2 x dx = ?,,,,,2.0,1,2.0,Интеграл,Easy,0.01
3,13,mcq,Шоо орхиход 6 гарах магадлал хэд вэ?,1/2,1/3,1/6,1/4,C,1,1/6,Магадлал статистик,Medium,
3,14,num,|3+4i|-г ол.,,,,,5,1,5,Комплекс тоо,Hard,0.01
3,15,mcq,log_2(8) = ?,2,3,4,1,B,1,3,Логарифм,Easy,
3,16,num,x=2 үед x²+2x+1 хэд вэ?,,,,,9,1,9,Олон гишүүнт,Medium,0.01
3,17,mcq,y=2x+1 шулуугийн налуу хэд вэ?,1,2,3,0,B,1,2,Функц ба график,Hard,
3,18,num,y=x³ функцийн x=2 дээрх уламжлал хэд вэ?,,,,,12,1,12,Функцийн уламжлал,Easy,0.01
3,19,mcq,∫ x dx = ?,x²/2 + C,ln|x|+C,x³/3 + C,2x+C,A,1,x²/2 + C,Интеграл,Medium,
3,20,num,10 зоос шидэхэд толгойны хүлээгдэж буй дундаж хэд вэ?,,,,,5,1,5,Магадлал статистик,Hard,0.01
3,21,mcq,i² = ?,1,-1,i,-i,B,1,-1,Комплекс тоо,Easy,
3,22,num,log_10(100) тооцоол.,,,,,2,1,2,Логарифм,Medium,0.01
3,23,mcq,(x+2)(x+3)-г үржүүл.,x²+5x+6,x²+6x+5,x²+2x+3,x²+3x+2,A,1,x²+5x+6,Олон гишүүнт,Hard,
3,24,num,x=3 үед y=x² функцийн утга хэд вэ?,,,,,9,1,9,Функц ба график,Easy,0.01
3,25,mcq,y=3x² функцийн уламжлалыг ол.,6x,3x,x²,6,A,1,6x,Функцийн уламжлал,Medium,
3,26,num,∫0→2 x dx = ?,,,,,2.0,1,2.0,Интеграл,Hard,0.01
3,27,mcq,Шоо орхиход 6 гарах магадлал хэд вэ?,1/2,1/3,1/6,1/4,C,1,1/6,Магадлал статистик,Easy,
3,28,num,|3+4i|-г ол.,,,,,5,1,5,Комплекс тоо,Medium,0.01
3,29,mcq,log_2(8) = ?,2,3,4,1,B,1,3,Логарифм,Hard,
3,30,num,x=2 үед x²+2x+1 хэд вэ?,,,,,9,1,9,Олон гишүүнт,Easy,0.01
3,31,mcq,y=2x+1 шулуугийн налуу хэд вэ?,1,2,3,0,B,1,2,Функц ба график,Medium,
3,32,num,y=x³ функцийн x=2 дээрх уламжлал хэд вэ?,,,,,12,1,12,Функцийн уламжлал,Hard,0.01
3,33,mcq,∫ x dx = ?,x²/2 + C,ln|x|+C,x³/3 + C,2x+C,A,1,x²/2 + C,Интеграл,Easy,
3,34,num,10 зоос шидэхэд толгойны хүлээгдэж буй дундаж хэд вэ?,,,,,5,1,5,Магадлал статистик,Medium,0.01
3,35,mcq,i² = ?,1,-1,i,-i,B,1,-1,Комплекс тоо,Hard,
3,36,num,log_10(100) тооцоол.,,,,,2,1,2,Логарифм,Easy,0.01
3,37,mcq,(x+2)(x+3)-г үржүүл.,x²+5x+6,x²+6x+5,x²+2x+3,x²+3x+2,A,1,x²+5x+6,Олон гишүүнт,Medium,
3,38,num,x=3 үед y=x² функцийн утга хэд вэ?,,,,,9,1,9,Функц ба график,Hard,0.01
3,39,mcq,y=3x² функцийн уламжлалыг ол.,6x,3x,x²,6,A,1,6x,Функцийн уламжлал,Easy,
3,40,num,∫0→2 x dx = ?,,,,,2.0,1,2.0,Интеграл,Medium,0.01
4,1,mcq,log_2(8) = ?,2,3,4,1,B,1,3,Логарифм,Medium,
4,2,num,x=2 үед x²+2x+1 хэд вэ?,,,,,9,1,9,Олон гишүүнт,Hard,0.01
4,3,mcq,y=2x+1 шулуугийн налуу хэд вэ?,1,2,3,0,B,1,2,Функц ба график,Easy,
4,4,num,y=x³ функцийн x=2 дээрх уламжлал хэд вэ?,,,,,12,1,12,Функцийн уламжлал,Medium,0.01
4,5,mcq,∫ x dx = ?,x²/2 + C,ln|x|+C,x³/3 + C,2x+C,A,1,x²/2 + C,Интеграл,Hard,
4,6,num,10 зоос шидэхэд толгойны хүлээгдэж буй дундаж хэд вэ?,,,,,5,1,5,Магадлал статистик,Easy,0.01
4,7,mcq,i² = ?,1,-1,i,-i,B,1,-1,Комплекс тоо,Medium,
4,8,num,log_10(100) тооцоол.,,,,,2,1,2,Логарифм,Hard,0.01
4,9,mcq,(x+2)(x+3)-г үржүүл.,x²+5x+6,x²+6x+5,x²+2x+3,x²+3x+2,A,1,x²+5x+6,Олон гишүүнт,Easy,
4,10,num,x=3 үед y=x² функцийн утга хэд вэ?,,,,,9,1,9,Функц ба график,Medium,0.01
4,11,mcq,y=3x² функцийн уламжлалыг ол.,6x,3x,x²,6,A,1,6x,Функцийн уламжлал,Hard,
4,12,num,∫0→2 x dx = ?,,,,,2.0,1,2.0,Интеграл,Easy,0.01
4,13,mcq,Шоо орхиход 6 гарах магадлал хэд вэ?,1/2,1/3,1/6,1/4,C,1,1/6,Магадлал статистик,Medium,
4,14,num,|3+4i|-г ол.,,,,,5,1,5,Комплекс тоо,Hard,0.01
4,15,mcq,log_2(8) = ?,2,3,4,1,B,1,3,Логарифм,Easy,
4,16,num,x=2 үед x²+2x+1 хэд вэ?,,,,,9,1,9,Олон гишүүнт,Medium,0.01
4,17,mcq,y=2x+1 шулуугийн налуу хэд вэ?,1,2,3,0,B,1,2,Функц ба график,Hard,
4,18,num,y=x³ функцийн x=2 дээрх уламжлал хэд вэ?,,,,,12,1,12,Функцийн уламжлал,Easy,0.01
4,19,mcq,∫ x dx = ?,x²/2 + C,ln|x|+C,x³/3 + C,2x+C,A,1,x²/2 + C,Интеграл,Medium,
4,20,num,10 зоос шидэхэд толгойны хүлээгдэж буй дундаж хэд вэ?,,,,,5,1,5,Магадлал статистик,Hard,0.01
4,21,mcq,i² = ?,1,-1,i,-i,B,1,-1,Комплекс тоо,Easy,
4,22,num,log_10(100) тооцоол.,,,,,2,1,2,Логарифм,Medium,0.01
4,23,mcq,(x+2)(x+3)-г үржүүл.,x²+5x+6,x²+6x+5,x²+2x+3,x²+3x+2,A,1,x²+5x+6,Олон гишүүнт,Hard,
4,24,num,x=3 үед y=x² функцийн утга хэд вэ?,,,,,9,1,9,Функц ба график,Easy,0.01
4,25,mcq,y=3x² функцийн уламжлалыг ол.,6x,3x,x²,6,A,1,6x,Функцийн уламжлал,Medium,
4,26,num,∫0→2 x dx = ?,,,,,2.0,1,2.0,Интеграл,Hard,0.01
4,27,mcq,Шоо орхиход 6 гарах магадлал хэд вэ?,1/2,1/3,1/6,1/4,C,1,1/6,Магадлал статистик,Easy,
4,28,num,|3+4i|-г ол.,,,,,5,1,5,Комплекс тоо,Medium,0.01
4,29,mcq,log_2(8) = ?,2,3,4,1,B,1,3,Логарифм,Hard,
4,30,num,x=2 үед x²+2x+1 хэд вэ?,,,,,9,1,9,Олон гишүүнт,Easy,0.01
4,31,mcq,y=2x+1 шулуугийн налуу хэд вэ?,1,2,3,0,B,1,2,Функц ба график,Medium,
4,32,num,y=x³ функцийн x=2 дээрх уламжлал хэд вэ?,,,,,12,1,12,Функцийн уламжлал,Hard,0.01
4,33,mcq,∫ x dx = ?,x²/2 + C,ln|x|+C,x³/3 + C,2x+C,A,1,x²/2 + C,Интеграл,Easy,
4,34,num,10 зоос шидэхэд толгойны хүлээгдэж буй дундаж хэд вэ?,,,,,5,1,5,Магадлал статистик,Medium,0.01
4,35,mcq,i² = ?,1,-1,i,-i,B,1,-1,Комплекс тоо,Hard,
4,36,num,log_10(100) тооцоол.,,,,,2,1,2,Логарифм,Easy,0.01
4,37,mcq,(x+2)(x+3)-г үржүүл.,x²+5x+6,x²+6x+5,x²+2x+3,x²+3x+2,A,1,x²+5x+6,Олон гишүүнт,Medium,
4,38,num,x=3 үед y=x² функцийн утга хэд вэ?,,,,,9,1,9,Функц ба график,Hard,0.01
4,39,mcq,y=3x² функцийн уламжлалыг ол.,6x,3x,x²,6,A,1,6x,Функцийн уламжлал,Easy,
4,40,num,∫0→2 x dx = ?,,,,,2.0,1,2.0,Интеграл,Medium,0.01
