variant,qnum,type,question,A,B,C,D,correct,score,solution,topic,difficulty,tolerance
2,19,mcq,|x - 10| = 1. x-ийн утгыг ол.,9,11,16,6,B,1,"x = [11, 9]",Модульт тэгшитгэл,Medium,
2,20,mcq,|x - 5| = 7. x-ийн утгыг ол.,2,12,-2,20,B,1,"x = [12, -2]",Модульт тэгшитгэл,Easy,
2,21,mcq,|x - 2| = 8. x-ийн утгыг ол.,6,5,-6,10,D,1,"x = [10, -6]",Модульт тэгшитгэл,Medium,
2,22,mcq,|x - 2| = 7. x-ийн утгыг ол.,9,11,0,-5,A,1,"x = [9, -5]",Модульт тэгшитгэл,Hard,
2,23,mcq,|x - 7| = 1. x-ийн утгыг ол.,8,6,4,12,A,1,"x = [8, 6]",Модульт тэгшитгэл,Hard,
2,24,mcq,|x - 9| = 6. x-ийн утгыг ол.,3,9,15,12,C,1,"x = [15, 3]",Модульт тэгшитгэл,Hard,
2,25,mcq,|x - 2| = 6. x-ийн утгыг ол.,-4,11,8,10,C,1,"x = [8, -4]",Модульт тэгшитгэл,Hard,
2,26,mcq,|x - 8| = 2. x-ийн утгыг ол.,6,10,1,19,B,1,"x = [10, 6]",Модульт тэгшитгэл,Medium,
2,27,mcq,|x - 1| = 7. x-ийн утгыг ол.,8,15,-6,0,A,1,"x = [8, -6]",Модульт тэгшитгэл,Easy,
2,28,mcq,|x - 10| = 6. x-ийн утгыг ол.,17,16,5,4,B,1,"x = [16, 4]",Модульт тэгшитгэл,Medium,
2,29,mcq,|x - 2| = 7. x-ийн утгыг ол.,-5,10,9,1,C,1,"x = [9, -5]",Модульт тэгшитгэл,Hard,
2,30,mcq,|x - 7| = 6. x-ийн утгыг ол.,1,8,5,13,D,1,"x = [13, 1]",Модульт тэгшитгэл,Hard,
2,31,mcq,|x - 3| = 9. x-ийн утгыг ол.,18,12,-6,3,B,1,"x = [12, -6]",Модульт тэгшитгэл,Hard,
2,32,mcq,|x - 4| = 6. x-ийн утгыг ол.,5,-2,7,10,D,1,"x = [10, -2]",Модульт тэгшитгэл,Medium,
2,33,mcq,|x - 1| = 3. x-ийн утгыг ол.,4,-2,0,11,A,1,"x = [4, -2]",Модульт тэгшитгэл,Medium,
2,34,mcq,|x - 9| = 2. x-ийн утгыг ол.,11,7,16,16,A,1,"x = [11, 7]",Модульт тэгшитгэл,Hard,
2,35,mcq,|x - 8| = 9. x-ийн утгыг ол.,-1,19,17,2,C,1,"x = [17, -1]",Модульт тэгшитгэл,Medium,
2,36,mcq,|x - 4| = 1. x-ийн утгыг ол.,9,3,5,15,C,1,"x = [5, 3]",Модульт тэгшитгэл,Easy,
2,37,mcq,|x - 3| = 3. x-ийн утгыг ол.,0,0,6,17,C,1,"x = [6, 0]",Модульт тэгшитгэл,Hard,
2,38,mcq,|x - 9| = 8. x-ийн утгыг ол.,18,17,16,1,B,1,"x = [17, 1]",Модульт тэгшитгэл,Hard,
2,39,mcq,|x - 3| = 4. x-ийн утгыг ол.,-1,1,5,7,D,1,"x = [7, -1]",Модульт тэгшитгэл,Hard,
2,40,mcq,|x - 9| = 6. x-ийн утгыг ол.,3,4,9,15,D,1,"x = [15, 3]",Модульт тэгшитгэл,Medium,
