variant,qnum,type,question,A,B,C,D,correct,score,solution,topic,difficulty,tolerance
1,20,mcq,|x - 2| = 8. x-ийн утгыг ол.,-6,16,10,1,C,1,"x = [10, -6]",Модульт тэгшитгэл,Easy,
1,21,mcq,|x - 6| = 1. x-ийн утгыг ол.,7,0,4,5,A,1,"x = [7, 5]",Модульт тэгшитгэл,Medium,
1,22,mcq,|x - 5| = 9. x-ийн утгыг ол.,14,20,19,-4,A,1,"x = [14, -4]",Модульт тэгшитгэл,Easy,
1,23,mcq,|x - 5| = 1. x-ийн утгыг ол.,17,8,6,4,C,1,"x = [6, 4]",Модульт тэгшитгэл,Hard,
1,24,mcq,|x - 7| = 10. x-ийн утгыг ол.,18,-3,17,12,C,1,"x = [17, -3]",Модульт тэгшитгэл,Medium,
1,25,mcq,|x - 1| = 8. x-ийн утгыг ол.,-7,5,7,9,D,1,"x = [9, -7]",Модульт тэгшитгэл,Medium,
1,26,mcq,|x - 6| = 6. x-ийн утгыг ол.,0,12,17,14,B,1,"x = [12, 0]",Модульт тэгшитгэл,Hard,
1,27,mcq,|x - 8| = 10. x-ийн утгыг ол.,18,-2,0,5,A,1,"x = [18, -2]",Модульт тэгшитгэл,Medium,
1,28,mcq,|x - 3| = 1. x-ийн утгыг ол.,2,20,4,3,C,1,"x = [4, 2]",Модульт тэгшитгэл,Medium,
1,29,mcq,|x - 9| = 1. x-ийн утгыг ол.,7,20,8,10,D,1,"x = [10, 8]",Модульт тэгшитгэл,Medium,
1,30,mcq,|x - 3| = 4. x-ийн утгыг ол.,12,17,-1,7,D,1,"x = [7, -1]",Модульт тэгшитгэл,Hard,
1,31,mcq,|x - 4| = 4. x-ийн утгыг ол.,8,6,5,0,A,1,"x = [8, 0]",Модульт тэгшитгэл,Medium,
1,32,mcq,|x - 3| = 3. x-ийн утгыг ол.,8,6,0,11,B,1,"x = [6, 0]",Модульт тэгшитгэл,Hard,
1,33,mcq,|x - 5| = 4. x-ийн утгыг ол.,9,0,1,17,A,1,"x = [9, 1]",Модульт тэгшитгэл,Easy,
1,34,mcq,|x - 7| = 1. x-ийн утгыг ол.,20,8,0,6,B,1,"x = [8, 6]",Модульт тэгшитгэл,Hard,
1,35,mcq,|x - 6| = 4. x-ийн утгыг ол.,12,10,2,8,B,1,"x = [10, 2]",Модульт тэгшитгэл,Hard,
1,36,mcq,|x - 7| = 6. x-ийн утгыг ол.,13,14,8,1,A,1,"x = [13, 1]",Модульт тэгшитгэл,Easy,
1,37,mcq,|x - 2| = 10. x-ийн утгыг ол.,-8,9,10,12,D,1,"x = [12, -8]",Модульт тэгшитгэл,Medium,
1,38,mcq,|x - 6| = 7. x-ийн утгыг ол.,-1,1,16,13,D,1,"x = [13, -1]",Модульт тэгшитгэл,Easy,
1,39,mcq,|x - 8| = 6. x-ийн утгыг ол.,14,11,2,15,A,1,"x = [14, 2]",Модульт тэгшитгэл,Easy,
1,40,mcq,|x - 2| = 5. x-ийн утгыг ол.,-3,1,7,10,C,1,"x = [7, -3]",Модульт тэгшитгэл,Medium,
